"faceRectangle__top","faceRectangle__left","faceRectangle__width","faceRectangle__height","scores__anger","scores__contempt","scores__disgust","scores__fear","scores__happiness","scores__neutral","scores__sadness","scores__surprise","scores__res"
"52","184","39","39","0.000403211772","0.006814219","0.000465511024","0.000213891268","0.653476059","0.327362269","0.007812302","0.00345255039","1"
"152","688","60","60","2.1971151E-05","0.000426159764","4.157811E-06","2.3114076E-07","7.261143E-06","0.9970976","0.00243670912","5.922146E-06","1"
"173","402","54","54","0.000607138965","0.013894734","0.000130036424","2.2072094E-05","0.02297878","0.95813936","0.00401603524","0.000211852","1"
"146","213","51","51","1.7558832E-05","0.009997526","5.6347285E-06","1.02220488E-09","0.16120486","0.8287695","3.90953E-06","9.809822E-07","1"
"118","631","42","42","0.00153222948","0.000226701537","2.09838963E-05","3.50891537E-06","6.863849E-06","0.997122169","0.000686622632","0.0004009475","1"
"120","493","37","37","3.92589936E-05","7.99833142E-05","1.9227607E-06","1.92540213E-07","1.04112323E-05","0.999651432","0.000207844714","8.981721E-06","1"
"100","767","36","36","0.00183589046","0.00142162142","0.000315608544","0.000778648537","0.004509419","0.9786473","0.00364653161","0.008844976","1"
